date,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
7/1/13,0.84,0,0,77,72,3.1
7/2/13,0.08,0,0,82,72,2.7
7/3/13,0.53,0,0,83,73,4.3
7/4/13,0,0,0,87,75,4.3
7/5/13,0,0,0,90,76,4.9
7/6/13,0,0,0,92,78,4.5
7/7/13,0,0,0,92,78,4.3
7/8/13,0.22,0,0,89,73,4.7
7/9/13,0.23,0,0,88,74,3.1
7/10/13,0,0,0,85,75,4.3
7/11/13,0,0,0,84,76,3.8
7/12/13,0.25,0,0,77,68,9.6
7/13/13,0.06,0,0,81,67,5.4
7/14/13,0,0,0,90,74,4
7/15/13,0,0,0,94,78,3.6
7/16/13,0,0,0,94,77,4.7
7/17/13,0,0,0,97,79,3.4
7/18/13,0,0,0,98,81,3.8
7/19/13,0,0,0,96,83,5.1
7/20/13,0,0,0,93,81,5.8
7/21/13,0,0,0,89,76,4.7
7/22/13,0.06,0,0,86,75,4.9
7/23/13,0.31,0,0,87,73,4.3
7/24/13,0,0,0,83,68,4.5
7/25/13,0.01,0,0,68,64,8.9
7/26/13,0,0,0,83,65,5.1
7/27/13,0,0,0,82,70,3.4
7/28/13,0.24,0,0,78,70,2
7/29/13,0.01,0,0,85,69,3.8
7/30/13,0,0,0,83,67,4
7/31/13,0,0,0,83,67,2.9
8/1/13,0.65,0,0,76,66,2.9
8/2/13,0,0,0,83,67,4.5
8/3/13,0.06,0,0,78,68,3.4
8/4/13,0,0,0,80,66,5.1
8/5/13,0,0,0,78,62,3.4
8/6/13,0,0,0,82,64,2.7
8/7/13,0,0,0,80,70,5.1
8/8/13,0.46,0,0,81,70,4.5
8/9/13,0.05,0,0,85,74,4.3
8/10/13,0,0,0,83,70,4.9
8/11/13,0,0,0,81,65,2.5
8/12/13,0.05,0,0,82,70,2
8/13/13,0.85,0,0,77,68,2.7
8/14/13,0,0,0,74,61,6.5
8/15/13,0,0,0,78,59,3.6
8/16/13,0,0,0,82,64,2
8/17/13,0,0,0,84,64,2
8/18/13,0,0,0,76,68,2.9
8/19/13,0,0,0,79,66,3.4
8/20/13,0,0,0,88,68,2.9
8/21/13,0,0,0,90,72,2.5
8/22/13,0.25,0,0,78,71,3.8
8/23/13,0,0,0,82,71,5.6
8/24/13,0,0,0,80,65,4.9
8/25/13,0,0,0,83,64,4
8/26/13,0.04,0,0,84,68,5.8
8/27/13,0.01,0,0,87,71,4.7
8/28/13,0.43,0,0,86,71,2.7
8/29/13,0,0,0,80,71,4.9
8/30/13,0,0,0,85,70,4.3
8/31/13,0,0,0,86,73,4.9
9/1/13,0,0,0,84,75,2.5
9/2/13,0.05,0,0,82,74,0.9
9/3/13,0.03,0,0,82,68,2.9
9/4/13,0,0,0,82,65,5.4
9/5/13,0,0,0,80,64,5.6
9/6/13,0,0,0,72,57,3.6
9/7/13,0,0,0,80,59,3.4
9/8/13,0,0,0,83,64,6.5
9/9/13,0,0,0,73,57,4.3
9/10/13,0.01,0,0,87,68,5.8
9/11/13,0,0,0,96,77,4.5
9/12/13,1.6,0,0,87,70,4
9/13/13,0.06,0,0,77,59,5.1
9/14/13,0,0,0,67,54,4.7
9/15/13,0,0,0,73,51,3.8
9/16/13,0.03,0,0,73,56,4.7
9/17/13,0,0,0,65,50,4.7
9/18/13,0,0,0,72,51,2.7
9/19/13,0,0,0,78,55,2.5
9/20/13,0,0,0,79,60,3.1
9/21/13,0.72,0,0,77,61,4.5
9/22/13,0.45,0,0,69,54,5.8
9/23/13,0,0,0,66,50,4
9/24/13,0,0,0,73,47,4
9/25/13,0,0,0,73,52,1.8
9/26/13,0,0,0,71,58,3.6
9/27/13,0,0,0,69,57,4.7
9/28/13,0,0,0,73,56,4.5
9/29/13,0,0,0,72,57,3.1
9/30/13,0,0,0,75,56,3.4
10/1/13,0,0,0,82,59,2
10/2/13,0,0,0,83,64,4
10/3/13,0,0,0,78,63,1.6
10/4/13,0,0,0,86,66,2.9
10/5/13,0,0,0,76,64,3.6
10/6/13,0,0,0,70,65,5.8
10/7/13,0.25,0,0,76,60,5.8
10/8/13,0,0,0,67,54,6
10/9/13,0,0,0,62,53,8.5
10/10/13,0,0,0,65,54,8.9
10/11/13,0.02,0,0,68,60,9.4
10/12/13,0,0,0,72,60,11.2
10/13/13,0,0,0,65,56,8.5
10/14/13,0,0,0,66,52,2.5
10/15/13,0,0,0,72,53,2.9
10/16/13,0,0,0,67,56,3.1
10/17/13,0.02,0,0,73,61,2.7
10/18/13,0,0,0,68,55,6.7
10/19/13,0.01,0,0,64,52,3.4
10/20/13,0,0,0,63,50,5.6
10/21/13,0,0,0,66,50,3.8
10/22/13,0,0,0,67,51,4.5
10/23/13,0,0,0,55,45,4.5
10/24/13,0,0,0,54,41,6.7
10/25/13,0,0,0,53,40,5.1
10/26/13,0,0,0,55,41,6.3
10/27/13,0,0,0,58,46,5.1
10/28/13,0,0,0,61,43,4.5
10/29/13,0,0,0,56,44,4.9
10/30/13,0,0,0,60,47,2
10/31/13,0.06,0,0,66,53,3.6
11/1/13,0.13,0,0,70,59,4.9
11/2/13,0,0,0,68,55,3.8
11/3/13,0,0,0,55,37,6.3
11/4/13,0,0,0,46,35,6.5
11/5/13,0,0,0,55,41,4
11/6/13,0,0,0,61,49,3.6
11/7/13,0.13,0,0,64,44,6.7
11/8/13,0,0,0,50,40,8.7
11/9/13,0,0,0,50,38,4.9
11/10/13,0,0,0,61,44,7.6
11/11/13,0,0,0,53,43,6.5
11/12/13,0.03,0,0,52,31,6.3
11/13/13,0,0,0,39,29,6
11/14/13,0,0,0,52,33,8.1
11/15/13,0,0,0,57,44,4.7
11/16/13,0.05,0,0,60,45,2.7
11/17/13,0.03,0,0,60,51,3.6
11/18/13,0.22,0,0,65,51,7.4
11/19/13,0,0,0,51,36,9.2
11/20/13,0,0,0,44,32,6.9
11/21/13,0,0,0,52,35,4.9
11/22/13,0.07,0,0,57,51,6.3
11/23/13,0,0,0,54,31,9.6
11/24/13,0,0,0,30,23,12.1
11/25/13,0,0,0,35,23,5.8
11/26/13,0.51,0,0,47,33,4.3
11/27/13,1.98,0,0,62,35,9.6
11/28/13,0,0,0,35,30,7.2
11/29/13,0,0,0,39,29,3.8
11/30/13,0,0,0,39,25,5.1
12/1/13,0,0,0,49,36,1.8
12/2/13,0,0,0,49,41,3.1
12/3/13,0,0,0,53,38,3.1
12/4/13,0,0,0,52,41,2.9
12/5/13,0.01,0,0,60,48,2.5
12/6/13,0.73,0,0,62,37,5.8
12/7/13,0.14,0,0,41,32,6
12/8/13,0.08,0,0.7,33,29,6.3
12/9/13,0.3,0,0,39,31,6.7
12/10/13,0.23,0,1.4,37,30,6.5
12/11/13,0,0,0,33,27,7.6
12/12/13,0,0,0,30,23,7.4
12/13/13,0,0,0,35,23,5.6
12/14/13,0.73,0,5,34,22,10.1
12/15/13,0.72,3.1,0,40,30,8.7
12/16/13,0,3.1,0,33,25,7.8
12/17/13,0.19,3.1,1.5,32,24,6
12/18/13,0,3.9,0,37,23,6.7
12/19/13,0,3.1,0,47,30,4.9
12/20/13,0,3.1,0,53,41,5.1
12/21/13,0.01,1.2,0,65,51,7.8
12/22/13,0,0,0,71,61,5.6
12/23/13,0.51,0,0,64,42,4.7
12/24/13,0,0,0,42,26,8.3
12/25/13,0,0,0,31,19,4.7
12/26/13,0,0,0,36,30,5.4
12/27/13,0,0,0,40,31,5.8
12/28/13,0,0,0,55,36,7.2
12/29/13,1.2,0,0,48,41,6
12/30/13,0,0,0,45,23,6.3
12/31/13,0,0,0,32,21,5.8
1/1/14,0,0,0,33,24,5.6
1/2/14,0.33,0,3.1,33,18,12.3
1/3/14,0.29,5.9,3.3,18,9,10.5
1/4/14,0,5.9,0,29,8,4.9
1/5/14,0.14,3.9,0,40,27,3.8
1/6/14,0.36,1.2,0,55,19,8.5
1/7/14,0,0,0,19,4,13.2
1/8/14,0,0,0,22,9,7.2
1/9/14,0,0,0,32,22,2.9
1/10/14,0.11,0,0,37,30,3.4
1/11/14,0.5,0,0,58,37,7.2
1/12/14,0.05,0,0,54,38,8.3
1/13/14,0,0,0,51,37,5.1
1/14/14,0.38,0,0,52,44,4.9
1/15/14,0,0,0,47,39,2.9
1/16/14,0,0,0,42,36,4
1/17/14,0,0,0,44,33,3.6
1/18/14,0.07,0,0,41,29,7.2
1/19/14,0,0,0,38,24,7.4
1/20/14,0,0,0,46,31,7.4
1/21/14,0.46,0,11,31,11,10.5
1/22/14,0.02,11,0.5,17,5,8.7
1/23/14,0,7.1,0,20,7,7.2
1/24/14,0,5.9,0,20,10,8.1
1/25/14,0.04,3.9,1,28,19,7.6
1/26/14,0,3.9,0,34,17,-9999
1/27/14,0,3.1,0,44,21,7.8
1/28/14,0,1.2,0,21,12,6
1/29/14,0.04,2,0.8,23,14,6.5
1/30/14,0,1,0,30,16,3.8
1/31/14,0,1.2,0,39,25,4.9
2/1/14,0,1.2,0,45,36,3.6
2/2/14,0,1.2,0,56,39,3.1
2/3/14,1.17,1.2,8,43,27,6.7
2/4/14,0,7.9,0,35,22,2.2
2/5/14,1.43,9.1,4,34,29,7.2
2/6/14,0,9.1,0,32,21,4
2/7/14,0,9.1,0,32,24,6.7
2/8/14,0,9.1,0,29,21,4.9
2/9/14,0.1,7.9,1.2,31,21,3.6
2/10/14,0,9.8,0,29,21,7.2
2/11/14,0,9.8,0,26,16,5.4
2/12/14,0,9.8,0,25,13,5.8
2/13/14,1.78,11.8,9.5,36,24,12.5
2/14/14,0.3,18.1,3,40,31,10.5
2/15/14,0.13,18.1,1.6,37,27,9.4
2/16/14,0,18.1,0,30,21,8.9
2/17/14,0,16.9,0,32,18,5.4
2/18/14,0.16,18.1,1.5,39,26,5.1
2/19/14,0.26,16.9,0,45,34,5.1
2/20/14,0.03,15,0,51,37,4.9
2/21/14,0.09,13,0,49,36,7.4
2/22/14,0,9.8,0,54,40,7.2
2/23/14,0,9.1,0,54,43,5.4
2/24/14,0,5.9,0,44,27,9.4
2/25/14,0,5.9,0,33,24,6.9
2/26/14,0.03,5.9,0.2,31,20,5.4
2/27/14,0,5.9,0,34,14,8.5
2/28/14,0,5.9,0,24,9,4.7
3/1/14,0,5.9,0,37,20,4.5
3/2/14,0,5.1,0,40,32,3.8
3/3/14,0.04,5.1,0.1,32,17,6.7
3/4/14,0,5.1,0,29,13,4.7
3/5/14,0,3.9,0,39,26,5.1
3/6/14,0,3.9,0,31,16,8.5
3/7/14,0,3.9,0,37,26,7.8
3/8/14,0,3.1,0,57,35,5.8
3/9/14,0,2,0,44,36,6.3
3/10/14,0,1.2,0,51,36,5.4
3/11/14,0,0,0,66,45,4.7
3/12/14,0.35,0,0,56,32,5.4
3/13/14,0,0,0,32,18,14.1
3/14/14,0,0,0,46,22,5.6
3/15/14,0,0,0,58,42,8.9
3/16/14,0,0,0,42,30,7.6
3/17/14,0,0,0,35,23,8.1
3/18/14,0,0,0,43,28,6.9
3/19/14,0.92,0,0,46,32,7.2
3/20/14,0,0,0,54,40,8.1
3/21/14,0,0,0,51,39,7.6
3/22/14,0,0,0,63,41,6.9
3/23/14,0,0,0,42,27,7.4
3/24/14,0,0,0,35,21,6.7
3/25/14,0,0,0,39,26,5.8
3/26/14,0,0,0,36,24,11.9
3/27/14,0,0,0,44,22,6.7
3/28/14,0.04,0,0,62,37,5.4
3/29/14,1.81,0,0,59,43,10.7
3/30/14,0.35,0,0,49,39,10.1
3/31/14,0.16,0,0,56,36,8.3
4/1/14,0,0,0,60,39,4.7
4/2/14,0,0,0,54,42,2
4/3/14,0.07,0,0,67,46,3.8
4/4/14,0.21,0,0,47,40,8.5
4/5/14,0,0,0,54,40,8.5
4/6/14,0,0,0,61,36,4.3
4/7/14,0.52,0,0,53,43,6
4/8/14,0.34,0,0,64,46,6.9
4/9/14,0,0,0,61,45,6.9
4/10/14,0,0,0,58,42,6.9
4/11/14,0,0,0,75,56,5.8
4/12/14,0,0,0,73,50,4.3
4/13/14,0,0,0,77,54,5.8
4/14/14,0,0,0,75,59,7.4
4/15/14,0.71,0,0,63,33,8.7
4/16/14,0.05,0,0,49,31,7.6
4/17/14,0,0,0,48,36,7.8
4/18/14,0,0,0,49,35,5.4
4/19/14,0,0,0,68,41,5.6
4/20/14,0,0,0,60,45,6.3
4/21/14,0,0,0,67,41,4.3
4/22/14,0.01,0,0,71,51,5.6
4/23/14,0,0,0,61,44,9.4
4/24/14,0,0,0,62,42,8.5
4/25/14,0.02,0,0,63,44,4.9
4/26/14,0.92,0,0,67,46,5.4
4/27/14,0,0,0,59,47,5.8
4/28/14,0,0,0,67,45,4.3
4/29/14,0.03,0,0,52,43,8.9
4/30/14,4.97,0,0,52,41,8.3
5/1/14,0.12,0,0,78,51,4.5
5/2/14,0,0,0,70,56,4.5
5/3/14,0.08,0,0,71,54,3.4
5/4/14,0.02,0,0,65,54,8.3
5/5/14,0,0,0,70,50,7.4
5/6/14,0,0,0,71,52,3.8
5/7/14,0,0,0,69,50,4
5/8/14,0.41,0,0,59,53,4.5
5/9/14,0.04,0,0,63,55,3.1
5/10/14,0.37,0,0,83,57,4.5
5/11/14,0.03,0,0,82,60,3.1
5/12/14,0,0,0,85,64,1.8
5/13/14,0,0,0,73,53,7.2
5/14/14,0.01,0,0,71,52,4.7
5/15/14,0.15,0,0,71,58,5.4
5/16/14,1.54,0,0,68,58,6.5
5/17/14,0,0,0,70,53,4.9
5/18/14,0,0,0,67,51,5.8
5/19/14,0,0,0,72,49,4.7
5/20/14,0,0,0,78,53,3.1
5/21/14,0,0,0,74,63,2.5
5/22/14,0.24,0,0,67,59,3.1
5/23/14,0.91,0,0,71,56,4.3
5/24/14,0.4,0,0,70,57,3.6
5/25/14,0,0,0,80,55,2
5/26/14,0,0,0,86,66,4.9
5/27/14,0,0,0,86,64,4.3
5/28/14,0,0,0,64,54,7.6
5/29/14,0,0,0,66,51,4.3
5/30/14,0,0,0,75,55,2.5
5/31/14,0.05,0,0,73,57,5.8
6/1/14,0,0,0,77,55,3.6
6/2/14,0,0,0,80,59,4.5
6/3/14,0.12,0,0,87,65,4
6/4/14,0,0,0,82,63,3.6
6/5/14,0.87,0,0,76,61,5.6
6/6/14,0,0,0,76,61,4.5
6/7/14,0,0,0,82,60,2.9
6/8/14,0,0,0,86,66,2.9
6/9/14,1.6,0,0,73,63,4.3
6/10/14,0,0,0,77,65,3.4
6/11/14,0.02,0,0,70,61,7.2
6/12/14,0.07,0,0,73,60,5.6
6/13/14,1.28,0,0,79,65,3.6
6/14/14,0,0,0,74,60,4.7
6/15/14,0,0,0,80,59,4.3
6/16/14,0,0,0,81,63,2.9
6/17/14,0,0,0,89,71,4
6/18/14,0,0,0,89,76,5.8
6/19/14,0.15,0,0,77,68,3.8
6/20/14,0,0,0,79,64,4.5
6/21/14,0,0,0,78,62,4.9
6/22/14,0,0,0,79,64,2
6/23/14,0,0,0,81,65,2.7
6/24/14,0,0,0,81,68,4.9
6/25/14,0.08,0,0,85,70,4.9
6/26/14,0.07,0,0,85,70,4.7
6/27/14,0,0,0,83,67,2.9
6/28/14,0,0,0,87,66,2.9
6/29/14,0,0,0,83,68,2.7
6/30/14,0,0,0,84,69,2.7
7/1/14,0,0,0,89,72,5.1
7/2/14,0.96,0,0,91,72,3.8
7/3/14,1.78,0,0,87,69,2.9
7/4/14,0.14,0,0,74,65,5.4
7/5/14,0,0,0,81,63,6.7
7/6/14,0,0,0,84,66,4.9
7/7/14,0.04,0,0,90,72,5.8
7/8/14,0.39,0,0,91,71,4.7
7/9/14,0.09,0,0,88,71,4.3
7/10/14,0,0,0,83,72,2.9
7/11/14,0,0,0,86,71,4
7/12/14,0,0,0,85,71,3.4
7/13/14,0.03,0,0,83,72,5.1
7/14/14,0.46,0,0,84,72,4.5
7/15/14,1.3,0,0,86,72,2.7
7/16/14,0,0,0,81,68,3.8
7/17/14,0,0,0,81,67,4
7/18/14,0,0,0,81,64,4
7/19/14,0,0,0,76,68,5.1
7/20/14,0,0,0,80,66,4
7/21/14,0,0,0,85,67,2
7/22/14,0,0,0,86,71,3.8
7/23/14,0.19,0,0,88,72,4.9
7/24/14,0,0,0,80,70,4.9
7/25/14,0,0,0,82,66,4.3
7/26/14,0,0,0,81,69,4.3
7/27/14,0.02,0,0,85,71,3.4
7/28/14,0.19,0,0,82,68,7.4
7/29/14,0,0,0,76,64,4.9
7/30/14,0,0,0,80,63,2.9
7/31/14,0,0,0,82,68,3.4
8/1/14,0,0,0,84,71,3.8
8/2/14,0.41,0,0,74,63,6
8/3/14,0.07,0,0,76,66,2.2
8/4/14,0,0,0,84,70,3.4
8/5/14,0,0,0,90,71,2.5
8/6/14,0,0,0,83,70,2.9
8/7/14,0,0,0,83,66,4.3
8/8/14,0,0,0,83,65,3.1
8/9/14,0,0,0,87,66,2.9
8/10/14,0,0,0,88,68,2.9
8/11/14,0,0,0,87,71,3.1
8/12/14,0.19,0,0,79,70,5.8
8/13/14,0.53,0,0,82,68,5.6
8/14/14,0,0,0,77,63,4.7
8/15/14,0,0,0,73,61,5.4
8/16/14,0,0,0,78,63,4
8/17/14,0.01,0,0,82,66,3.6
8/18/14,0,0,0,81,63,4.5
8/19/14,0,0,0,83,63,3.8
8/20/14,0,0,0,84,70,2.2
8/21/14,0.35,0,0,83,65,3.6
8/22/14,0.06,0,0,79,65,4.7
8/23/14,0.01,0,0,77,67,4.7
8/24/14,0,0,0,80,64,3.1
8/25/14,0,0,0,88,64,2.7
8/26/14,0,0,0,89,70,2.2
8/27/14,0,0,0,90,70,3.4
8/28/14,0,0,0,82,66,5.4
8/29/14,0,0,0,80,61,3.4
8/30/14,0,0,0,80,65,2.2
8/31/14,0.62,0,0,90,73,3.4
9/1/14,0,0,0,88,75,2.9
9/2/14,0,0,0,92,77,5.4
9/3/14,0,0,0,86,72,3.4
9/4/14,0,0,0,87,69,2.7
9/5/14,0,0,0,87,72,2.9
9/6/14,0.11,0,0,91,67,4.7
9/7/14,0,0,0,81,65,4.7
9/8/14,0,0,0,75,65,7.6
9/9/14,0,0,0,73,63,7.8
9/10/14,0,0,0,80,63,5.8
9/11/14,0,0,0,83,69,4.7
9/12/14,0,0,0,78,62,5.1
9/13/14,0.26,0,0,69,58,5.1
9/14/14,0,0,0,71,53,3.1
9/15/14,0,0,0,71,55,2.9
9/16/14,0.37,0,0,70,58,2.2
9/17/14,0,0,0,73,55,2.7
9/18/14,0,0,0,76,57,2.7
9/19/14,0,0,0,66,54,7.6
9/20/14,0,0,0,75,57,2.9
9/21/14,0.15,0,0,75,67,1.6
9/22/14,0,0,0,71,55,6.7
9/23/14,0,0,0,71,52,1.8
9/24/14,0,0,0,71,58,5.6
9/25/14,0.32,0,0,64,57,8.3
9/26/14,0,0,0,77,58,4.3
9/27/14,0,0,0,83,60,2.5
9/28/14,0,0,0,84,64,1.8
9/29/14,0,0,0,79,67,0.7
9/30/14,0,0,0,71,62,4.7
10/1/14,0.02,0,0,65,61,6
10/2/14,0,0,0,70,61,4.7
10/3/14,0,0,0,71,56,4.3
10/4/14,1.18,0,0,69,52,6.7
10/5/14,0,0,0,61,46,5.6
10/6/14,0,0,0,69,50,3.8
10/7/14,0.06,0,0,71,63,4.7
10/8/14,0.04,0,0,73,62,7.2
10/9/14,0,0,0,68,55,5.6
10/10/14,0,0,0,64,52,2.2
10/11/14,0.33,0,0,60,50,4.5
10/12/14,0,0,0,63,48,2.7
10/13/14,0.05,0,0,65,52,2.7
10/14/14,0,0,0,76,63,4.7
10/15/14,0.69,0,0,77,69,5.1
10/16/14,1.11,0,0,71,61,4
10/17/14,0,0,0,71,59,4.5
10/18/14,0,0,0,70,56,6.3
10/19/14,0,0,0,56,44,7.6
10/20/14,0,0,0,60,42,3.8
10/21/14,0.11,0,0,67,55,3.6
10/22/14,1.51,0,0,58,50,9.4
10/23/14,0.61,0,0,53,50,7.6
10/24/14,0,0,0,63,51,4.5
10/25/14,0.01,0,0,67,50,5.8
10/26/14,0,0,0,63,53,7.8
10/27/14,0,0,0,63,48,5.1
10/28/14,0,0,0,72,53,2.9
10/29/14,0,0,0,72,51,4.9
10/30/14,0,0,0,59,47,3.6
10/31/14,0.05,0,0,55,45,6.5
11/1/14,0.35,0,0,47,42,8.9
11/2/14,0,0,0,48,41,10.7
11/3/14,0,0,0,61,39,5.8
11/4/14,0,0,0,68,53,4.7
11/5/14,0,0,0,64,56,4.5
11/6/14,0.37,0,0,57,48,3.1
11/7/14,0,0,0,53,40,7.4
11/8/14,0,0,0,48,36,6
11/9/14,0,0,0,57,46,2.7
11/10/14,0,0,0,61,44,2.5
11/11/14,0,0,0,64,49,3.4
11/12/14,0,0,0,65,47,2.7
11/13/14,0.2,0,0,48,36,3.6
11/14/14,0.06,0,0,42,35,7.2
11/15/14,0,0,0,42,33,3.6
11/16/14,0.03,0,0,45,35,3.8
11/17/14,1.54,0,0,52,40,3.8
11/18/14,0,0,0,45,24,10.1
11/19/14,0,0,0,36,22,7.2
11/20/14,0,0,0,45,31,7.2
11/21/14,0,0,0,37,28,7.6
11/22/14,0,0,0,44,28,4.9
11/23/14,0,0,0,57,43,3.8
11/24/14,0.7,0,0,69,53,5.4
11/25/14,0,0,0,68,51,5.1
11/26/14,1.24,0,0.2,51,34,8.7
11/27/14,0.02,0,0,38,34,5.1
11/28/14,0,0,0,37,29,5.8
11/29/14,0,0,0,45,27,3.6
11/30/14,0,0,0,55,45,4.3
12/1/14,0.09,0,0,65,42,6.7
12/2/14,0.08,0,0,43,35,9.2
12/3/14,0.06,0,0,46,41,7.6
12/4/14,0,0,0,45,37,5.8
12/5/14,0.51,0,0,44,34,6
12/6/14,1.22,0,0,50,39,4
12/7/14,0.04,0,0,42,30,11.9
12/8/14,0,0,0,37,24,11.4
12/9/14,2.54,0,0,42,36,10.3
12/10/14,0.08,0,1,40,32,8.3
12/11/14,0.01,1.2,0,38,31,7.6
12/12/14,0,0,0,38,32,8.1
12/13/14,0,0,0,44,34,8.9
12/14/14,0,0,0,46,38,6
12/15/14,0,0,0,48,37,2.7
12/16/14,0.2,0,0,49,38,3.8
12/17/14,0.02,0,0,54,42,5.8
12/18/14,0,0,0,42,37,8.7
12/19/14,0,0,0,38,31,7.2
12/20/14,0,0,0,33,30,4.9
12/21/14,0,0,0,36,31,4.9
12/22/14,0.04,0,0,44,35,6
12/23/14,0.16,0,0,46,43,8.3
12/24/14,0.8,0,0,58,44,5.8
12/25/14,0.09,0,0,62,44,9.6
12/26/14,0,0,0,50,40,5.8
12/27/14,0,0,0,55,44,4.5
12/28/14,0.1,0,0,54,43,5.8
12/29/14,0,0,0,44,34,5.1
12/30/14,0,0,0,34,28,4.3
12/31/14,0,0,0,32,27,5.6
1/1/15,0,0,0,39,27,7.2
1/2/15,0,0,0,42,35,7.2
1/3/15,0.71,0,0,42,33,6.5
1/4/15,0.3,0,0,56,41,6.5
1/5/15,0,0,0,49,21,10.5
1/6/15,0.05,0,1,22,19,4
1/7/15,0,1.2,0,23,9,12.8
1/8/15,0,0,0,21,8,8.7
1/9/15,0.07,0,1.5,33,19,8.7
1/10/15,0,1.2,0,23,16,8.1
1/11/15,0,1.2,0,37,18,6
1/12/15,0.36,0,0,39,35,3.8
1/13/15,0,0,0,36,17,8.5
1/14/15,0,0,0,32,16,6.3
1/15/15,0,0,0,35,25,4.7
1/16/15,0,0,0,43,20,9.8
1/17/15,0,0,0,32,17,6
1/18/15,2.1,0,0,42,31,3.8
1/19/15,0,0,0,42,36,7.6
1/20/15,0,0,0,40,32,5.8
1/21/15,0,0,0,36,25,4.3
1/22/15,0,0,0,40,31,5.6
1/23/15,0,0,0,39,28,5.6
1/24/15,0.72,3.1,3.6,39,33,6
1/25/15,0,2,0,42,31,6.3
1/26/15,0.48,2,5.5,31,22,12.8
1/27/15,0.36,7.9,4.3,30,20,8.3
1/28/15,0,7.9,0,34,16,7.6
1/29/15,0.02,5.9,0,36,19,3.8
1/30/15,0.06,7.1,1,38,19,10.5
1/31/15,0,7.1,0,26,13,12.3
2/1/15,0.03,5.9,0.3,36,20,3.8
2/2/15,1.02,7.1,5,34,14,9.8
2/3/15,0,7.9,0,26,13,7.2
2/4/15,0,7.9,0,43,24,4.3
2/5/15,0,7.9,0,42,14,8.5
2/6/15,0,7.9,0,27,12,7.2
